"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2326878";"";"";"Small molecule";"";"455.50";"17";"43";"3.41";"89.43";"6";"2";"0";"3";"N";"0.28";"7.44";"None";"3.78";"3.50";"4";"MOL";"-1";"33";"7";"2";"0";"455.0940";"-1.05";"NEUTRAL";"C25H17N3O4S";"COc1ccc2c(c1)c(C=C1C(=O)NC(=S)NC1=O)cn2C(=O)c1cccc2ccccc12";"GWTLYZWGZAMXMC-UHFFFAOYSA-N"
"CHEMBL1253549";"";"3,7-Dichlorotropolone";"Small molecule";"";"191.01";"3";"4";"2.06";"37.30";"2";"1";"0";"0";"Y";"0.68";"8.29";"None";"2.26";"2.20";"1";"MOL";"-1";"11";"2";"1";"0";"189.9588";"-0.19";"NEUTRAL";"C7H4Cl2O2";"O=c1c(Cl)cccc(Cl)c1O";"XLBHEAVQEWJZAG-UHFFFAOYSA-N"
"CHEMBL4082636";"";"";"Small molecule";"";"536.76";"2";"4";"2.64";"98.82";"6";"2";"1";"12";"N";"0.40";"9.96";"7.24";"2.97";"2.74";"2";"MOL";"-1";"36";"8";"2";"1";"536.2491";"-1.17";"NEUTRAL";"C26H40N4O4S2";"CC(C)(C)c1ccc(S(=O)(=O)NCCCN2CCN(CCCNS(=O)(=O)c3ccccc3)CC2)cc1";"ZYAXTUHTRCFNCK-UHFFFAOYSA-N"
"CHEMBL2058850";"ISOHESPERIDIN";"Isohesperidin";"Small molecule";"";"610.57";"1";"3";"-1.16";"234.29";"15";"8";"3";"7";"N";"0.18";"7.87";"None";"-0.31";"-0.44";"2";"MOL";"-1";"43";"15";"8";"3";"610.1898";"1.93";"NEUTRAL";"C28H34O15";"COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O";"KGLNDYQQXNMWCQ-GBWQQRHQSA-N"
"CHEMBL5197294";"";"";"";"";"538.46";"1";"1";"3.96";"189.66";"8";"6";"2";"3";"N";"0.22";"3.23";"None";"7.02";"0.21";"4";"MOL";"0";"40";"10";"6";"2";"538.0900";"0.70";"ACID";"C30H18O10";"O=C(O)c1cc(O)c2c(c1)[C@H]([C@@H]1c3cccc(O)c3C(=O)c3c(O)cc(C(=O)O)cc31)c1cccc(O)c1C2=O";"JPMRHWLJLNKRTJ-FGZHOGPDSA-N"
"CHEMBL1430383";"";"";"Small molecule";"";"478.55";"34";"40";"5.73";"75.61";"6";"0";"1";"4";"N";"0.33";"None";"3.77";"5.55";"5.55";"5";"MOL";"-1";"36";"7";"0";"1";"478.2005";"-1.49";"NEUTRAL";"C29H26N4O3";"Cc1ccc(C)c(N2CCN(C(=O)c3ccc4nc(-c5ccco5)c(-c5ccco5)nc4c3)CC2)c1";"IRUZPVLQKHTOLY-UHFFFAOYSA-N"
"CHEMBL3114562";"";"";"Small molecule";"";"451.52";"3";"6";"0.64";"162.59";"10";"5";"0";"12";"N";"0.29";"10.23";"0.85";"0.86";"0.86";"2";"MOL";"-1";"32";"11";"5";"1";"451.2431";"0.35";"NEUTRAL";"C21H33N5O6";"CCCCCCCCCCNc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2c(=O)[nH]1";"HFCVEERZBULTMS-AEVYOOLXSA-N"
"CHEMBL1269932";"";"";"Small molecule";"";"405.36";"4";"7";"4.36";"123.04";"7";"2";"0";"5";"N";"0.37";"6.38";"None";"4.54";"3.42";"4";"MOL";"-1";"30";"8";"2";"0";"405.0849";"0.21";"ACID";"C22H15NO7";"O=c1c(OCc2cccc([N+](=O)[O-])c2)c(-c2ccccc2)oc2cc(O)cc(O)c12";"XJFLBWVLJXRNSO-UHFFFAOYSA-N"
"CHEMBL3896780";"";"";"Small molecule";"";"342.42";"2";"5";"3.81";"90.63";"7";"3";"0";"4";"N";"0.38";"9.05";"3.64";"4.56";"4.55";"3";"MOL";"-1";"24";"6";"3";"0";"342.1150";"-1.12";"NEUTRAL";"C17H18N4O2S";"CCc1sc2ncnc(N/N=C(/C)c3cc(O)ccc3O)c2c1C";"CYZGRWDOAOCDOF-JMIUGGIZSA-N"
"CHEMBL3114568";"";"";"Small molecule";"";"491.63";"1";"2";"3.23";"142.36";"9";"4";"0";"16";"N";"0.26";"10.23";"0.87";"3.54";"3.54";"2";"MOL";"-1";"35";"10";"4";"0";"491.3108";"0.16";"NEUTRAL";"C25H41N5O5";"CCCCCCCCCCCCCCNc1nc(=O)c2ncn([C@@H]3C[C@H](O)[C@@H](CO)O3)c2c(=O)[nH]1";"DUZPBTGAKQTBSM-ZCNNSNEGSA-N"
"CHEMBL3415706";"";"";"Small molecule";"";"291.37";"3";"10";"5.16";"4.93";"1";"0";"1";"2";"N";"0.61";"None";"None";"5.86";"5.86";"3";"MOL";"-1";"22";"1";"0";"1";"291.1423";"-1.30";"None";"C20H18FN";"Fc1ccc(-n2c(-c3ccccc3)cc3c2CCCC3)cc1";"DBHRGANISADCCD-UHFFFAOYSA-N"
"CHEMBL4739915";"";"";"Unknown";"";"414.28";"1";"1";"2.87";"66.80";"7";"4";"0";"5";"N";"0.26";"7.54";"1.41";"3.48";"3.26";"2";"MOL";"-1";"21";"6";"3";"0";"414.0124";"-1.32";"NEUTRAL";"C13H15IN6S";"Sc1nnc(NNc2ccc(I)cc2)n1NC1C=CCC1";"HZJRZVOMEGOUMN-UHFFFAOYSA-N"
"CHEMBL4588212";"";"";"Unknown";"";"228.28";"2";"2";"3.06";"46.01";"4";"1";"0";"1";"N";"0.70";"8.80";"3.84";"2.62";"2.60";"3";"MOL";"-1";"16";"3";"1";"0";"228.0357";"-1.19";"NEUTRAL";"C12H8N2OS";"Oc1ccccc1-c1nc2ccncc2s1";"JEUPSKBVFFEVIX-UHFFFAOYSA-N"
"CHEMBL429399";"";"";"Small molecule";"";"354.33";"1";"8";"-4.18";"219.62";"12";"7";"2";"4";"N";"0.28";"12.42";"9.01";"-3.65";"-5.30";"1";"MOL";"-1";"25";"13";"10";"2";"354.1400";"0.79";"BASE";"C12H18N8O5";"NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1C1N=C(N)NC(N)=N1";"MGFIASZGZDOZDG-KAFVXXCXSA-N"
"CHEMBL1771766";"";"";"Small molecule";"";"398.49";"1";"1";"3.21";"93.21";"6";"2";"0";"6";"N";"0.62";"9.67";"8.44";"3.59";"2.70";"3";"MOL";"-1";"28";"7";"2";"0";"398.1413";"-1.29";"NEUTRAL";"C20H22N4O3S";"CCOc1ccc2c(NNS(=O)(=O)c3ccccn3)c3c(nc2c1)CCCC3";"FLZSZRDJNSONHD-UHFFFAOYSA-N"
"CHEMBL1594376";"";"";"Small molecule";"";"461.54";"47";"66";"5.13";"103.52";"7";"2";"1";"5";"N";"0.43";"None";"None";"4.29";"4.29";"4";"MOL";"-1";"33";"7";"3";"1";"461.1409";"-1.47";"NEUTRAL";"C25H23N3O4S";"Nc1c(C(=O)NCC2CCCO2)sc2nc3c(c(-c4ccco4)c12)CC/C3=C\c1ccco1";"RLYGJKUXWYDHLJ-WYMLVPIESA-N"
"CHEMBL4533592";"";"";"Unknown";"";"331.40";"2";"2";"1.56";"64.78";"8";"0";"0";"5";"N";"0.71";"None";"6.74";"1.49";"1.40";"3";"MOL";"-1";"23";"7";"0";"0";"331.1103";"-2.41";"NEUTRAL";"C15H17N5O2S";"c1ccc(-c2nn3cnnc3s2)c(OCCN2CCOCC2)c1";"IOEVDWRJZKTXQM-UHFFFAOYSA-N"
